PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,GroupCount,RoundedFare
1,0,3,male,22.0,1,0,S,1,10
2,1,1,female,38.0,1,0,C,1,70
3,1,3,female,26.0,0,0,S,0,10
4,1,1,female,35.0,1,0,S,1,50
5,0,3,male,35.0,0,0,S,0,10
6,0,3,male,32.0,0,0,Q,0,10
7,0,1,male,54.0,0,0,S,0,50
8,0,3,male,2.0,3,1,S,4,20
9,1,3,female,27.0,0,2,S,2,10
10,1,2,female,14.0,1,0,C,1,30
11,1,3,female,4.0,1,1,S,2,20
12,1,1,female,58.0,0,0,S,0,30
13,0,3,male,20.0,0,0,S,0,10
14,0,3,male,39.0,1,5,S,6,30
15,0,3,female,14.0,0,0,S,0,10
16,1,2,female,55.0,0,0,S,0,20
17,0,3,male,2.0,4,1,Q,5,30
18,1,2,male,32.0,0,0,S,0,10
19,0,3,female,31.0,1,0,S,1,20
20,1,3,female,36.0,0,0,C,0,10
21,0,2,male,35.0,0,0,S,0,30
22,1,2,male,34.0,0,0,S,0,10
23,1,3,female,15.0,0,0,Q,0,10
24,1,1,male,28.0,0,0,S,0,40
25,0,3,female,8.0,3,1,S,4,20
26,1,3,female,38.0,1,5,S,6,30
27,0,3,male,32.0,0,0,C,0,10
28,0,1,male,19.0,3,2,S,5,260
29,1,3,female,22.0,0,0,Q,0,10
30,0,3,male,32.0,0,0,S,0,10
31,0,1,male,40.0,0,0,C,0,30
32,1,1,female,36.0,1,0,C,1,150
33,1,3,female,22.0,0,0,Q,0,10
34,0,2,male,66.0,0,0,S,0,10
35,0,1,male,28.0,1,0,C,1,80
36,0,1,male,42.0,1,0,S,1,50
37,1,3,male,32.0,0,0,C,0,10
38,0,3,male,21.0,0,0,S,0,10
39,0,3,female,18.0,2,0,S,2,20
40,1,3,female,14.0,1,0,C,1,10
41,0,3,female,40.0,1,0,S,1,10
42,0,2,female,27.0,1,0,S,1,20
43,0,3,male,32.0,0,0,C,0,10
44,1,2,female,3.0,1,2,C,3,40
45,1,3,female,19.0,0,0,Q,0,10
46,0,3,male,32.0,0,0,S,0,10
47,0,3,male,32.0,1,0,Q,1,20
48,1,3,female,22.0,0,0,Q,0,10
49,0,3,male,32.0,2,0,C,2,20
50,0,3,female,18.0,1,0,S,1,20
51,0,3,male,7.0,4,1,S,5,40
52,0,3,male,21.0,0,0,S,0,10
53,1,1,female,49.0,1,0,C,1,80
54,1,2,female,29.0,1,0,S,1,30
55,0,1,male,65.0,0,1,C,1,60
56,1,1,male,32.0,0,0,S,0,40
57,1,2,female,21.0,0,0,S,0,10
58,0,3,male,28.5,0,0,C,0,10
59,1,2,female,5.0,1,2,S,3,30
60,0,3,male,11.0,5,2,S,7,50
61,0,3,male,22.0,0,0,C,0,10
62,1,1,female,38.0,0,0,S,0,80
63,0,1,male,45.0,1,0,S,1,80
64,0,3,male,4.0,3,2,S,5,30
65,0,1,male,32.0,0,0,C,0,30
66,1,3,male,5.0,1,1,C,2,20
67,1,2,female,29.0,0,0,S,0,10
68,0,3,male,19.0,0,0,S,0,10
69,1,3,female,17.0,4,2,S,6,10
70,0,3,male,26.0,2,0,S,2,10
71,0,2,male,32.0,0,0,S,0,10
72,0,3,female,16.0,5,2,S,7,50
73,0,2,male,21.0,0,0,S,0,70
74,0,3,male,26.0,1,0,C,1,10
75,1,3,male,32.0,0,0,S,0,60
76,0,3,male,25.0,0,0,S,0,10
77,0,3,male,32.0,0,0,S,0,10
78,0,3,male,32.0,0,0,S,0,10
79,1,2,male,0.83,0,2,S,2,30
80,1,3,female,30.0,0,0,S,0,10
81,0,3,male,22.0,0,0,S,0,10
82,1,3,male,29.0,0,0,S,0,10
83,1,3,female,22.0,0,0,Q,0,10
84,0,1,male,28.0,0,0,S,0,50
85,1,2,female,17.0,0,0,S,0,10
86,1,3,female,33.0,3,0,S,3,20
87,0,3,male,16.0,1,3,S,4,30
88,0,3,male,32.0,0,0,S,0,10
89,1,1,female,23.0,3,2,S,5,260
90,0,3,male,24.0,0,0,S,0,10
91,0,3,male,29.0,0,0,S,0,10
92,0,3,male,20.0,0,0,S,0,10
93,0,1,male,46.0,1,0,S,1,60
94,0,3,male,26.0,1,2,S,3,20
95,0,3,male,59.0,0,0,S,0,10
96,0,3,male,32.0,0,0,S,0,10
97,0,1,male,71.0,0,0,C,0,30
98,1,1,male,23.0,0,1,C,1,60
99,1,2,female,34.0,0,1,S,1,20
100,0,2,male,34.0,1,0,S,1,30
101,0,3,female,28.0,0,0,S,0,10
102,0,3,male,32.0,0,0,S,0,10
103,0,1,male,21.0,0,1,S,1,80
104,0,3,male,33.0,0,0,S,0,10
105,0,3,male,37.0,2,0,S,2,10
106,0,3,male,28.0,0,0,S,0,10
107,1,3,female,21.0,0,0,S,0,10
108,1,3,male,32.0,0,0,S,0,10
109,0,3,male,38.0,0,0,S,0,10
110,1,3,female,22.0,1,0,Q,1,20
111,0,1,male,47.0,0,0,S,0,50
112,0,3,female,14.5,1,0,C,1,10
113,0,3,male,22.0,0,0,S,0,10
114,0,3,female,20.0,1,0,S,1,10
115,0,3,female,17.0,0,0,C,0,10
116,0,3,male,21.0,0,0,S,0,10
117,0,3,male,70.5,0,0,Q,0,10
118,0,2,male,29.0,1,0,S,1,20
119,0,1,male,24.0,0,1,C,1,250
120,0,3,female,2.0,4,2,S,6,30
121,0,2,male,21.0,2,0,S,2,70
122,0,3,male,32.0,0,0,S,0,10
123,0,2,male,32.5,1,0,C,1,30
124,1,2,female,32.5,0,0,S,0,10
125,0,1,male,54.0,0,1,S,1,80
126,1,3,male,12.0,1,0,C,1,10
127,0,3,male,32.0,0,0,Q,0,10
128,1,3,male,24.0,0,0,S,0,10
129,1,3,female,22.0,1,1,C,2,20
130,0,3,male,45.0,0,0,S,0,10
131,0,3,male,33.0,0,0,C,0,10
132,0,3,male,20.0,0,0,S,0,10
133,0,3,female,47.0,1,0,S,1,10
134,1,2,female,29.0,1,0,S,1,30
135,0,2,male,25.0,0,0,S,0,10
136,0,2,male,23.0,0,0,C,0,20
137,1,1,female,19.0,0,2,S,2,30
138,0,1,male,37.0,1,0,S,1,50
139,0,3,male,16.0,0,0,S,0,10
140,0,1,male,24.0,0,0,C,0,80
141,0,3,female,36.0,0,2,C,2,20
142,1,3,female,22.0,0,0,S,0,10
